"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
64, 2.572171705865810e-01, 1.359114960294907e-01, 2.328990105862578e+05, 2.109508104543775e-01, 1.981430593635150e+00
65, 2.644965705864912e-01, 1.382237822164605e-01, 2.309042224096326e+05, 2.077844800152899e-01, 1.991677007170406e+00
66, 2.718661189567454e-01, 1.405414538170975e-01, 2.289298916342963e+05, 2.046506216417402e-01, 2.001814955089948e+00
67, 2.793255408368381e-01, 1.428642482557794e-01, 2.269788695887727e+05, 2.015537612520202e-01, 2.011839737241570e+00
68, 2.868745663192839e-01, 1.451919412520971e-01, 2.250545628756896e+05, 1.984993061518883e-01, 2.021745043299223e+00
69, 2.945129302883974e-01, 1.475243466915581e-01, 2.231607685936347e+05, 1.954932834819599e-01, 2.031523289442347e+00
70, 3.022403722665966e-01, 1.498613163023115e-01, 2.213015053522670e+05, 1.925420719877254e-01, 2.041165984057981e+00
71, 3.100566362677716e-01, 1.522027391378556e-01, 2.194808466196502e+05, 1.896521374915083e-01, 2.050664108585939e+00
72, 3.179614706573040e-01, 1.545485408659750e-01, 2.177027384167749e+05, 1.868297435186904e-01, 2.060008559711050e+00
73, 3.259546280183407e-01, 1.568986828645580e-01, 2.159708121890555e+05, 1.840806542683422e-01, 2.069190628139649e+00
74, 3.340358650239657e-01, 1.592531611254571e-01, 2.142882183118568e+05, 1.814098703362807e-01, 2.078202449691018e+00
75, 3.422049423149282e-01, 1.616120049681982e-01, 2.126575027990077e+05, 1.788214330142980e-01, 2.087037367525854e+00
76, 3.504616243826190e-01, 1.639752755661114e-01, 2.110805388839619e+05, 1.763183156888285e-01, 2.095690168812649e+00
77, 3.588056794569988e-01, 1.663430642883560e-01, 2.095585138441728e+05, 1.739024029272584e-01, 2.104157186712063e+00
